loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term,fico_score,dti_computed,loan_to_income,emp_length_years,emp_length_bin,has_delinquency
22400,22400,22400, 60 months,12.88,508.3,C,C2,Executive Director,6 years,MORTGAGE,95000.0,Not Verified,2015-12-01,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68356421,,debt_consolidation,Debt consolidation,290xx,SC,22.98,0,1995-04-01,710,714,0,54.0,,16,0,13028,32.7,35,w,9912.88,9912.88,19275.33,19275.33,12487.12,6788.21,0.0,0.0,0.0,2019-02-01,508.3,2019-04-01,2019-03-01,589,585,0,54.0,1,Individual,,,,0,0,376218,1.0,5.0,0.0,3.0,17.0,171328.0,67.0,3.0,6.0,8121.0,54.0,39800,1.0,5.0,0.0,9,23514,12617.0,39.9,0,0,150.0,248,1,1,5,1.0,,14.0,,2,3,8,4,5,15,10,15,8,16,0.0,0,0,3,97.0,25.0,0,0,436841,184356,21000,191682,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,712.0,22.98,0.23578947368421052,6.0,6-10,0
16000,16000,16000, 60 months,12.88,363.07,C,C2,Senior Structural Designer,1 year,MORTGAGE,70000.0,Not Verified,2015-12-01,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68426545,,debt_consolidation,Debt consolidation,786xx,TX,26.4,0,1988-02-01,720,724,0,,,13,0,28705,56.3,29,w,7080.7,7080.7,13768.04,13768.04,8919.3,4848.74,0.0,0.0,0.0,2019-02-01,363.07,2019-04-01,2019-03-01,754,750,0,,1,Individual,,,,0,0,265836,0.0,2.0,0.0,2.0,13.0,33702.0,74.0,1.0,1.0,8739.0,64.0,51000,0.0,0.0,1.0,3,24167,17922.0,61.0,0,0,147.0,334,9,9,2,9.0,,11.0,,0,4,6,5,12,6,10,21,6,13,0.0,0,0,1,100.0,60.0,0,0,309638,62407,45900,45838,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,722.0,26.4,0.22857142857142856,1.0,1-2,0
1400,1400,1400, 36 months,12.88,47.1,C,C2,Logistics Manager,3 years,MORTGAGE,64000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68338832,,other,,275xx,NC,34.95,0,1996-06-01,700,704,0,,,17,0,37828,67.2,24,w,0.0,0.0,1575.160697674,1575.16,1400.0,175.16,0.0,0.0,0.0,2017-03-01,965.36,,2018-09-01,704,700,0,,1,Individual,,,,0,0,325695,1.0,3.0,1.0,2.0,2.0,37430.0,67.0,0.0,2.0,7386.0,67.0,56300,0.0,2.0,0.0,4,19159,7940.0,77.0,0,0,46.0,234,18,2,4,28.0,,18.0,,0,7,11,8,11,3,12,17,11,17,0.0,0,0,1,100.0,75.0,0,0,372109,75258,34500,55501,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,702.0,34.95,0.021875,3.0,3-5,0
18000,18000,18000, 60 months,19.48,471.7,E,E2,Software Manager,7 years,RENT,150000.0,Not Verified,2015-12-01,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=66624733,,debt_consolidation,Debt consolidation,916xx,CA,9.39,0,2005-06-01,665,669,1,,75.0,18,1,14052,40.7,27,w,0.0,0.0,9452.74,9452.74,3481.86,4351.98,0.0,1618.9,291.402,2017-05-01,471.7,,2017-11-01,584,580,0,,1,Individual,,,,0,60,36247,2.0,2.0,1.0,3.0,2.0,22195.0,71.0,2.0,4.0,1271.0,55.0,34500,2.0,1.0,2.0,7,2014,5128.0,51.3,0,0,115.0,112,1,1,2,9.0,,2.0,,0,6,13,7,8,6,16,19,13,18,0.0,0,0,3,100.0,14.3,1,0,65819,36247,10300,31319,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,667.0,9.39,0.12,7.0,6-10,0
28000,28000,28000, 36 months,6.49,858.05,A,A2,Senior Manager,10+ years,MORTGAGE,92000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68466961,,debt_consolidation,Debt consolidation,275xx,NC,21.6,0,1984-05-01,720,724,0,42.0,,16,0,51507,64.5,24,w,0.0,0.0,29939.017729337003,29939.02,28000.0,1939.02,0.0,0.0,0.0,2017-05-01,17093.51,,2019-03-01,764,760,0,,1,Individual,,,,0,0,221110,0.0,2.0,0.0,0.0,27.0,23413.0,55.0,0.0,1.0,8752.0,61.0,79900,0.0,1.0,0.0,1,13819,16623.0,59.9,0,0,82.0,379,19,19,2,19.0,48.0,,42.0,0,7,9,9,11,4,13,18,9,16,0.0,0,0,0,91.7,22.2,0,0,304003,74920,41500,42503,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,722.0,21.6,0.30434782608695654,10.0,6-10,0
9600,9600,9600, 36 months,7.49,298.58,A,A4,tech,8 years,MORTGAGE,60000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68354783,,credit_card,Credit card refinancing,299xx,SC,22.44,0,1996-06-01,695,699,0,,,7,0,7722,59.4,9,w,0.0,0.0,10636.0984276928,10636.1,9600.0,1036.1,0.0,0.0,0.0,2018-02-01,3480.17,,2018-08-01,779,775,0,,1,Individual,,,,0,0,55387,0.0,3.0,0.0,0.0,47.0,47665.0,43.0,2.0,2.0,4744.0,50.0,13000,0.0,0.0,2.0,2,7912,4778.0,61.8,0,0,234.0,91,9,9,0,11.0,,9.0,,0,3,3,3,3,5,4,4,3,7,0.0,0,0,2,100.0,66.7,0,0,88635,55387,12500,75635,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,697.0,22.44,0.16,8.0,6-10,0
25000,25000,25000, 36 months,7.49,777.55,A,A4,Sales Manager,10+ years,MORTGAGE,109000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68466916,,debt_consolidation,Debt consolidation,226xx,VA,26.02,0,2001-12-01,745,749,1,,,9,0,20862,54.3,19,w,0.0,0.0,26224.23,26224.23,25000.0,1224.23,0.0,0.0,0.0,2016-09-01,20807.39,,2017-04-01,724,720,0,,1,Individual,,,,0,0,305781,0.0,3.0,0.0,1.0,13.0,47194.0,58.0,0.0,1.0,8937.0,57.0,38400,1.0,0.0,1.0,2,33976,17538.0,54.3,0,0,142.0,168,13,13,3,13.0,,0.0,,0,3,3,5,6,7,5,9,3,9,0.0,0,0,0,100.0,20.0,0,0,373572,68056,38400,82117,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,747.0,26.02,0.22935779816513763,10.0,6-10,0
18000,18000,18000, 60 months,11.99,400.31,C,C1,GS-11,10+ years,MORTGAGE,112000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68577849,,debt_consolidation,Debt consolidation,856xx,AZ,8.68,0,1993-11-01,800,804,0,,,17,0,10711,15.5,27,w,0.0,0.0,18387.22,18387.22,18000.0,387.22,0.0,0.0,0.0,2016-03-01,18004.9,,2019-03-01,794,790,0,,1,Individual,,,,0,0,205067,3.0,1.0,2.0,2.0,3.0,25416.0,97.0,2.0,3.0,7672.0,38.0,82400,0.0,1.0,1.0,5,17089,60336.0,16.7,0,0,109.0,265,1,1,4,1.0,,10.0,,0,5,6,12,12,6,15,17,6,16,0.0,0,0,4,100.0,0.0,0,0,309710,36127,69800,26210,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,802.0,8.68,0.16071428571428573,10.0,6-10,0
23000,23000,23000, 60 months,8.49,471.77,B,B1,Teacher,5 years,RENT,64000.0,Not Verified,2015-12-01,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68506798,,credit_card,Credit card refinancing,117xx,NY,18.28,0,2001-09-01,700,704,0,29.0,,21,0,24940,52.7,33,w,9580.2,9580.2,17900.14,17900.14,13419.8,4480.34,0.0,0.0,0.0,2019-02-01,471.77,2019-04-01,2019-03-01,744,740,0,,1,Individual,,,,0,0,63886,0.0,7.0,0.0,0.0,42.0,38946.0,84.0,2.0,3.0,9516.0,68.0,47300,0.0,3.0,1.0,3,3549,15603.0,60.5,0,0,163.0,171,8,8,0,12.0,30.0,8.0,29.0,0,6,8,7,8,14,14,19,8,21,0.0,0,0,2,87.9,14.3,0,0,93962,63886,39500,46662,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,702.0,18.28,0.359375,5.0,3-5,0
8650,8650,8650, 36 months,19.89,320.99,E,E3,Program Coordinator ,8 years,RENT,55000.0,Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68495092,,debt_consolidation,Debt consolidation,462xx,IN,25.49,0,2005-03-01,675,679,4,,30.0,18,1,9568,46.0,19,w,0.0,0.0,9190.49,9190.49,8650.0,540.49,0.0,0.0,0.0,2016-05-01,8251.42,,2016-06-01,639,635,0,,1,Individual,,,,0,0,18926,6.0,1.0,0.0,1.0,19.0,9358.0,51.0,12.0,16.0,653.0,46.0,20750,2.0,0.0,5.0,17,1051,1375.0,45.0,0,0,129.0,95,0,0,0,8.0,,0.0,,0,2,17,2,2,2,17,17,13,18,,0,0,12,100.0,50.0,1,0,38998,18926,2750,18248,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,677.0,25.49,0.1572727272727273,8.0,6-10,0
29900,29900,29900, 60 months,12.88,678.49,C,C2,Corporate Insurance,10+ years,MORTGAGE,65000.0,Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68566886,,debt_consolidation,Debt consolidation,219xx,MD,21.77,0,2004-05-01,715,719,0,,,15,0,31682,46.7,31,w,0.0,0.0,34033.2141762065,34033.21,29900.0,4133.21,0.0,0.0,0.0,2017-03-01,25234.24,,2018-01-01,719,715,0,,1,Individual,,,,0,0,220251,2.0,1.0,1.0,2.0,9.0,10815.0,69.0,3.0,5.0,12971.0,51.0,67800,0.0,4.0,1.0,7,15732,18383.0,45.9,0,0,114.0,139,5,5,2,5.0,,9.0,,0,2,5,4,9,8,13,21,5,15,0.0,0,0,4,100.0,25.0,0,0,271700,42497,34000,15574,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,717.0,21.77,0.46,10.0,6-10,0
16000,16000,16000, 60 months,14.85,379.39,C,C5,Bookkeeper/Accounting,10+ years,MORTGAGE,48000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68009401,,credit_card,Credit card refinancing,297xx,SC,33.18,0,1991-06-01,685,689,0,33.0,2.0,11,2,19108,29.6,19,w,0.0,0.0,19498.0921090548,19498.09,16000.0,3498.09,0.0,0.0,0.0,2017-09-01,12322.68,,2017-09-01,664,660,0,33.0,1,Individual,,,,0,0,31329,1.0,2.0,1.0,2.0,6.0,12221.0,91.0,1.0,4.0,14982.0,65.0,284700,0.0,0.0,1.0,6,2848,263953.0,17.6,0,0,131.0,294,11,6,2,11.0,76.0,11.0,76.0,2,6,9,6,8,6,9,11,9,11,0.0,0,0,2,78.9,0.0,0,2,298100,31329,281300,13400,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,687.0,33.18,0.3333333333333333,10.0,6-10,0
28000,28000,28000, 36 months,13.44,949.38,C,C3,Director of Product Development ,2 years,OWN,125000.0,Source Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68476702,,debt_consolidation,Debt consolidation,100xx,NY,7.49,0,2000-05-01,695,699,0,,,6,0,22780,63.1,22,w,0.0,0.0,33320.393323799,33320.39,28000.0,5320.39,0.0,0.0,0.0,2017-12-01,12486.3,,2019-03-01,744,740,0,,1,Individual,,,,0,0,22780,0.0,0.0,0.0,0.0,64.0,0.0,,0.0,1.0,6881.0,63.0,36100,0.0,0.0,1.0,1,3797,10607.0,63.4,0,0,113.0,187,22,22,0,22.0,,10.0,,0,4,4,5,10,3,6,19,5,6,0.0,0,0,0,100.0,40.0,0,0,36100,22780,29000,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,697.0,7.49,0.224,2.0,1-2,0
5000,5000,5000, 36 months,13.44,169.54,C,C3,General Manager,2 years,RENT,79000.0,Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68436666,,credit_card,Credit card refinancing,214xx,MD,12.7,0,2011-10-01,665,669,0,,,3,0,9441,101.5,5,w,0.0,0.0,6117.4531971568,6117.45,5000.0,1117.45,0.0,0.0,0.0,2019-01-01,169.17,,2019-03-01,659,655,0,,1,Individual,,,,0,0,35653,0.0,1.0,0.0,1.0,19.0,26212.0,83.0,0.0,0.0,4360.0,87.0,9300,2.0,0.0,0.0,1,11884,0.0,101.4,0,0,50.0,36,32,19,0,36.0,,19.0,,0,1,2,1,1,3,2,2,2,3,0.0,0,0,0,100.0,100.0,0,0,41091,35653,4300,31791,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,667.0,12.7,0.06329113924050633,2.0,1-2,0
